,gsp_id_x,gsp_name,region_name
192,179,LAIR_P,Lairg
193,180,LALE1SG003,Laleham
194,181,LAND1,Landulph
195,182,LEGA_1,Legacy
196,183,LEVE,Leven
197,184,LING,Livingston East
198,185,LINM,Linnmill
199,186,LISD_1,Lister Drive
200,187,LITT_C,Littlebrook (Zone 1)
201,188,LITT_J,Littlebrook (Zone 2)
202,189,LODR_6,Lodge Road
203,190,LOUD_H,Loudwater
204,191,LOVE_1,Lovedean
205,192,LUNA_P,Lunanhead
206,193,LYND_P,Lyndhurst
207,194,MACC_3,Macclesfield
208,195,MACD_P,Macduff
209,196,MAGA_6,Margam
210,197,MANN_1,Mannington
211,198,MAYB,Maybole
212,199,MELK_1,Melksham
213,200,MILC_P,Milton of Craigie
214,201,MILH_1,Mill Hill
215,202,MITY_1,Minety
216,203,MYBS_P,Mybster
217,204,NAIR_P,Nairn
218,205,NEAR,Newarthill
219,206,NECE_1,Nechells
221,207,NEEP_3,Neepsend
222,208,NETS,Newton Stewart
223,209,NEWX_6,New Cross
225,210,NFLE,Northfleet East
226,211,NHYD_6,North Hyde
227,212,NINF_1,Ninfield
228,213,NORL_3,Norton Lees
229,214,NORM_1|SALL1,Norwich Main
230,215,NORT_1,Norton
231,216,NURS_1,Nursling
232,217,OCKH_1,Ocker Hill
233,218,OFFE_3,Offerton
234,219,OLDB_1,Oldbury
235,220,OSBA_1,Osbaldwick
236,221,PADIB1,Padiham
237,222,PAIS,Paisley
238,223,PART,Partick
239,224,PEHG_P,Peterhead Grange
240,225,PEHS_P|STRI_P,Peterhead Shell
241,226,PELH_1,Pelham
242,227,PEMB_1,Pembroke
243,228,PENE_1,Penwortham
244,229,PENN_1,Penn
245,230,PENT_1,Pentir
246,231,PENW_1|STAH_1|WABO,Penwortham
247,232,PERS_P,Persley
248,233,PITS_3,Pitsmoor
250,234,POOB,Portobello
251,235,POPP_3,Poppleton
252,236,PORA_P,Port Ann
253,237,PORD,Port Dundas
254,238,PYLE_1,Pyle
255,239,QUOI_P,Quoich
256,240,RAIN_1,Rainhill
257,241,RANN_P,Rannoch
258,242,RASS_1,Rassau
259,243,RATS_1,Ratcliffe
260,244,RAVE|WISH,Ravenscraig
261,245,RAYL_1,Rayleigh
262,246,REBR_3,Redbridge
263,247,REDH,Redhouse
264,248,REDM_P,Redmoss
265,249,ROCH_1,Rochdale
266,250,RUGEB1,Rugeley
267,251,RYEH_1,Rye House
268,252,SACO,Saltcoats
270,253,SALH_1,Saltholme
271,254,SALT_1,Saltend North
272,255,SANX,St Andrews Cross
273,256,SBAR,Stoke Bardolph
274,257,SEAB1,Seabank
275,258,SELL_1,Sellindge
277,259,SFEG_P,St Fergus Gas Terminal
278,260,SFIL_P,St Fillans
279,261,SHEC_3,Sheffield City
280,262,SHIN_P,Shin
281,263,SHRU,Shrubhill
282,264,SHRW_1,Shrewsbury
283,265,SIGH,Sighthill
284,266,SJOW_1,St Johns Wood
